"company_address","company_finance","company_industry","company_name","company_size","company_type","department","name","pay","publish_time","report_to","required_major","requirement","responsibility","subordinates_num","url"
"北京市朝阳区望京SOHO，T2-A-11层",,"基金/证券/期货/投资","两只老虎","1-49人","中外合营(合资·合作)","技术部","高级java后端开发工程师","18-30万","刚刚","无","不限","统招本科","岗位职责：1、深入产品需求快速进行迭代开发2、编写详细设计文档，接口设计文档，单元测试文档等有关技术方案、文档3、参与公司整体技术架构设计、实现和性能优化模块和集成测试，后期产品升级维护4、配合架构师完成软件系统以及模块的需求调研、需求分析、项目架构等5、根据产品需要进行技术调研，解决各种技术问题 任职要求：1、本科及以上学历，软件工程和计算机应用相关专业2、三年以上Java开发经验，对并发、分布式、容器服务有一定的认知3、扎实的Java基础、良好的编码规范，熟悉常用数据结构和算法，熟悉常用的设计模式4、熟悉主流开源框架Spring、MyBatis、SpringMVC、Activity、SpringBoot等，使用过Jfinal者优先5、熟悉Java主流的序列化工具和RPC工具（jackson、gson、fastjson、protobuf、Thrift、dubbo等），使用过dubbo者优先6、熟悉Mysql数据库，对NoSQL（Redis，MongoDB等）有一定的了解7、熟悉Tomcat、Resin、Jetty容器，对Apache、Nginx有一定的了解8、熟悉Jquery、CSS、HTML、freemarker相关技术，使用过AngularJs以及RequireJs者优先9、熟悉Maven、熟悉SVN或Git10、熟悉Linux环境开发，熟悉常用SHELL命令11、学习能力强，善于分析解决问题，有良好的职业素质，诚实正直，工作细心，有责任感，可以保质保量按时完成交给的任务你将加入这样一群人：●  以目标为中心，勇于承担责任、相信办法总比困难多的一群人●  懂得倾听、敢于分享、善于沟通的一群人●   勇于创新，每天保持紧迫感、立刻行动以赢得竞争的一群人工作环境上：●  放松自由的休闲区域：饮料、咖啡机、电冰箱，休息时可与你的伙伴来场激烈的老虎机决斗；或与你的伙伴来场激烈的桌上足球；● 每周一次的下午茶、激情的互动游戏（告诉我们你想吃的、玩的，没有你吃不到、玩不到，只有你想不到）其他的不妨您自己来体验吧！\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197497128.shtml"
"上海黄浦区马当路388号复兴SOHO广场A幢1001室",,"影视/媒体/艺术/文化/出版","设季荟","1-49人","国有企业","IT部","数据管理员","7-10万","24分钟前","IT主管","不限","大专及以上","岗位职责：1. 负责数据库的规划、设计、安装、配置；2. 制定完备的数据库升级、补丁、迁移以及优化方案并实施；3. 负责数据库故障诊断和排除，数据备份、恢复计划的制定和实施；4. 负责制定备份计划，并确保完整性及可用性；5. 精通存储过程，触发器等数据库相关技术；6. 负责项目支持，上线变更，SQL优化。任职资格：1、35周岁以下，全日制专科及以上学历，实际2年以上专职 MySQL DBA 经验；2、同时管理过大批量数据库服务器的运维经验，包括但不限于：  a. 搭建数据库实例，包括主从、集群、容错等；  b. 优化MySQL参数；  c. MySQL备份和恢复（在线和定期）；  d. MySQL监控；  e. MySQL数据库安全；3、丰富的基于业务逻辑驱动的数据库结构设计和优化经验；4、丰富的基于业务逻辑驱动的数据库开发经验（SQL）；5、熟悉Redis非关系型数据库，对Redis集群了解，懂得监控、调优；6、熟悉 Linux 类操作系统；7、同时熟悉其他关系型数据库者优先（如PostgreSQL,Oracle等）。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197737283.shtml"
"徐东大街45号中铁科技大厦2楼",,"教育/培训/学术/科研/院校","湖北华商智联教育科技股份有限公司","100-499人","私营·民营企业","董事长办公室","董事长助理","10-12万","32分钟前","董事长","不限","硕士及以上","岗位职责：1、负责董事长的日常行程安排；2、负责董事长文件，信件，函电的接收与转达；3、负责董事长日常经营工作中文件及邮件的起草；4、负责来访的接待、商务随行；5、根据董事长指示，协调联系与相关政府部门、业务来往单位有关事宜；6、维护及增进已有客户关系，与客户进行深入的沟通，充分理解客户需求；7、协助董事长作好经营服务各项管理并督促、检查落实贯彻执行情况；8、完成董事长交办的其它工作。任职条件：1、研究生及以上学历，2年以上同岗位工作经验；2、具有的良好的职业素养及职业道德；3、事业心强，能承受工作压力，团队协作能力佳；4、具备良好的沟通协调能力，公文写作功底扎实；5、具有创新意识，愿与公司长远发展；6、能适应经常出差。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197914617.shtml"
"北京市朝阳区安定路33号化信大厦A座1009室","A轮","搜索引擎","蜂鸟视图","50-99人","私营·民营企业","产品部","产品专员","6-7万","9分钟前","无","不限","本科及以上","工作内容：1. 分析同类型产品优缺点整合成产品改进需求，并收集市场、用户反馈与需求甄别、分析与定义；2. 配合开发/测试岗位，完成产品的研发，监督产品质量;3. 深入理解公司产品线功能架构，协助产品经理进行公司web平台、地图SDK的需求调研、需求分析和产品文档撰写;4. 辅助市场/运营岗位，在产品的运行、推广过程中，提供支持;5. 配合产品团队进行问题跟踪管理、产品运营监控、数据整理与统计等;6. 分享竞品分析、产品设计经验、推动公司产品进步和产品运营能力进步。 任职要求：1. GIS、计算机相关专业。2. 1年软件或互联网产品专员/助理/文案相关工作经验，有网站、移动终端产品需求分析和文档经验；3. 良好的逻辑分析能力、沟通能力与团队协作能力，并富有工作激情、主观能动性、创造力和责任感；4. 了解并热爱GIS行业或互联网行业，有创业激情和创新精神，积极主动、认真负责；5. 有软件行业、互联网行业产品文案、运营文案基础，在产品团队的协作下可以完成软件产品相关文案的撰写；加分项：1. 了解并熟练使用原型工具（Axure、墨刀、Mockplus等）；2. 对用户体验有理解和追求，追求完美和产品细节，将来有承担公司产品线模块需求设计的意愿。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197914940.shtml"
"北京市东城区藏经馆胡同11号B201","A轮","社交/社区/媒体","在直播","1-49人","私营·民营企业","技术大组","Swift工程师","18-36万","2017-03-14","CEO","不限","本科及以上","职位诱惑：免费午餐+超多团建+领导nice职位描述：精通swift精通 Objective-C 语言和 iPhone 平台开发技术，包括 UI、网络等熟练掌握 Xcode 开发工具和相关开发测试工具有良好编码风格，有较强的独立工作能力和团队合作精神对移动互联网产品有浓厚兴趣有 App Store 或 Mac App Store 上架项目或者有个人的成熟作品者优先两年及以上iOS实际开发经验（必须）加分项：会mvvm优先熟悉响应式编程优先能够熟练阅读英文资料并善用Google/Github福利看过来：业内最具竞争力薪酬：薪酬依据能力而定，不封顶不设限，保证您的家庭生活需要！还有大把期权等你拿哦！关注着您的发展：充满大牛的团队，技术氛围浓厚的环境，丰厚的国外一线技术资源。我们最懂你：在这里，工程师说了算！咖啡、零食、萌妹纸、加班餐、打车费......随你爽！\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197886086.shtml"
"重庆市两江新区洪湖西路18号2幢附1号",,"互联网/移动互联网/电子商务","优乐配","100-499人","私营·民营企业","技术中心","Android研发工程师","7-12万","7分钟前","无","不限","学历不限","岗位职责：1.负责产品在android平台（手机,平板等) 的设计、开发、调试、维护；2.参与项目需求评审、技术方案制定及开发，把握复杂系统的设计，确保系统的架构质量；3.承担性能优化，主导技术难题攻关，解决各类潜在系统技术风险，保证系统的安全、稳定、快速运行；4.主动发现问题，提出合理化建议，积极优化项目开发手段；5.改善软件的易用性，提升用户使用体验。任职资格：1、具有2年以上安卓平台开发经验；2、熟练掌握Java，熟悉Android SDK，熟悉Android Studio、IDEA或者Eclipse开发环境；3、熟悉安卓开发平台、能独立进行安卓应用开发；4、熟悉性能优化的工具和方法；5、熟悉软件架构、熟悉多线程技术，熟悉设计模式；6、对代码和设计质量优严格要求，有良好的编码风格和习惯；7、具备良好的学习能力和分析解决问题能力，强烈的责任心和团队精神，具有良好的沟通能力.\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197954858.shtml"
"渝北区山顶道国宾城",,"新能源","重庆国翰能源发展有限公司","1-49人","私营·民营企业","市场部","渠道拓展经理","5-7万","8小时前","无","不限","本科及以上","主要职责：1、 寻找潜在合作伙伴。2、 与潜在合作伙伴进行商务洽谈和签约。3、 行业渠道建设，渠道管理和渠道关系维护等工作。4、 开拓建立地区市场的代理渠道。 5、 管理当地区域代理商经销商 6、 对区域代理商经销商的销售人员进行培训 7、 地区市场状况竞争品牌的信息进行调研反馈。 8、 制定当地的市场推广计划及方案。 9、 组织执行当地的上市推广方案 10、做好产品销售回款工作。任职资格：1、 与代理商的谈判和沟通能力强；2、 具备快速的学习能力，强烈的市场竞争意识；3、 具有独立工作能力，勇于接受工作挑战，能够承担目标压力；4、 较强的商务谈判和独立的市场开拓能力，有渠道开发管理经验者优先考虑；5、 具有较强的沟通、交际能力、组织协调能力及团队合作精神；乐于面对挑战；6、 熟练使用Office办公软件，以及互联网浏览；7、 有较强的项目策划能力和谈判能力，文笔流畅；8、 丰富的渠道代理开拓能力，丰富的沟通、谈判技巧、渠道管理经验； 9、 具备较强的学习能力及团队合作精神； 10、 性格外向，强烈的事业心及挑战精神； 11、 良好的个人信誉及职业操守。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197463592.shtml"
"北京市朝阳区工体北路4号院79office四层410",,"互联网/移动互联网/电子商务","诸葛io","50-99人","私营·民营企业","销售部","大客户销售经理","10-20万","32分钟前","无","不限","学历不限","职位诱惑：底薪:8k-15k +五险一金+年假+提成+期权+年终奖职位描述：1，根据公司战略规划完成目标客户的拓展，实现公司的销售目标；2，了解行业相关信息并能充分挖掘客户需求，能提供专业的咨询服务引导客户需求，提供有效的解决方案；3，建立和维护好客户关系，提高客户满意度，建立长期合作；4，负责客户项目的整体进展，协调项目相关部门做好执行工作，提高客户满意度；5，根据公司目标签订销售合同，确保合同的续签率，完成款项的及时收回；6，能定期参加公司会议并对工作进行归纳分析，7，有效收集客户反馈和市场信息，帮助产品、市场以及服务部门提升创造价值能力；8，能接受短期出差。职位要求：1，该职位为公司业务的核心职位，负责重要互联网客户的拓展2，3-5年互联网软件销售工作经验，有SAAS类2B软件销售经验优先，3，了解互联网、产品、销售、数据分析相关知识，有互联网、金融、电商、服务等行业客户资源者First；4，追求卓越，强烈的责任心、目标意识和自我驱动能力；有自我时间管理，项目管理能力5，做事积极主动，拥有持续学习欲望和能力。青春仍在，节操不减。有诸葛，就任性。有态度，才精彩。寻找特别的你，只要你足（ZHU）够（GE）亮！特别的你，就有诸葛专属的福利：“同一个团队，同一个梦想”的凝聚力。不畏惧挑战和拼搏，敢为天下先的优秀而进取的85后团队。管饱的零食+X-box手游+桌上桌球机+大屏显示器+季度团建+创新工场&阿尔法公社的不定期培训+最新技能get+五险一金+春节最长假期.....更多滴，见面再聊。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/195202010.shtml"
"深圳市福田区华强北深南中路2070号电子科技大厦A座30楼3006号",,"电子技术/半导体/集成电路","新金源电子","100-499人","私营·民营企业","总经理办公室","总经理助理","24-48万","昨天","总经理","不限","统招本科","岗位职责：1：协助总经理制定战略计划、年度经营计划及各阶段工作目标分解，起草公司各阶段工作总结和其他正式文件；2：协助总经理对公司运作与各职能部门进行管理、协调内部各部门关系，尤其是业务部门间的日常工作关系以及事务处理，必要时可单独召集业务沟通会议或工作会议；3：配合总经理处理外部公共关系，跟踪公司经营目标达成情况，提供分析意见及改进建议；4：在公司经营计划、销售策略、资本运作等方面向总经理提供相关解决方案，撰写和跟进落实公司总经理会议、专题研讨会议等公司会议纪要；5：协助总经理进行公司企业文化、企业战略发展的规划，配合管理办开展企业文化工作；任职要求：1：性别不限，35岁-45岁，电子信息科学、工商管理、行政管理、企业管理等相关专业本科或以上学历。2：受过战略管理、组织变革管理、项目管理、管理能力开发等方面的培训。3：8年以上电子行业管理工作经验2年以上电子元器件工作经验。4：知识面宽，知识结构较全面，具有丰富的电子行业经验及管理经验，有较高的综合素质，能够迅速掌握与公司电子元器件业务有关的各种知识，良好的写作能力，熟练使用办公软件。5：有较强的组织、协调、沟通、领导能力及出色的人际交往和社会活动能力以及敏锐的洞察力，具有很强的判断与决策能力，计划和执行能力，良好的团队协作精神，为人诚实可靠、品行端正、具有亲和力，较强的独立工作能力和公关能力。备注：为了不影响双方宝贵时间，没有电子元器件行业2年以上工作经验者，请勿投简历，谢谢您的配合！！\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197272537.shtml"
"保定市涞水华银天鹅湖生态旅游区（总部基地）；北京市海淀区西三环莲花桥京都信苑（北京公司）；",,"房地产开发/建筑/建材/工程","华银地产","2000-5000人","私营·民营企业","财务部","地产财务经理","10-12万","昨天","无","不限","大专及以上","工作职责：1、对财务部门的日常管理、年度预算、资金运作等进行总体控制; 2、主持财务报表及财务预决算的编制工作，为公司决策提供及时有效的财务分析；3、按时完成税务申报以及年度审计工作; 4、比较精确地监控和预测现金流量，确定和监控公司负债和资本的合理结构；5、与财政、税务、银行、证券等相关政府部门及会计师事务所等相关中介机构建立并保持良好的关系;6、向上级主管汇报公司经营状况、经营成果、财务收支及计划的具体情况，为公司管理人员提供财务分析，提出有益的建议。任职要求：1、5年以上财务工作经验，有1年以上同等职位经历，有财务经理经验。2、全日制本科及以上学历，初级及以上职称。3、能吃苦耐劳；4、有良好的职业操守，严格遵守国家法律法规，执行企业各种规章制度，正直、诚信、公正、廉洁自律。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197578259.shtml"
"北京市海淀区北三环西路99号院西海国际3号楼7层",,"综合门户","微校邦","100-499人","国内上市公司","行政部","前台","4-6万","1小时前","无","不限","大专及以上","岗位职责：1、      对公司来访客人做好接待、登记、引导工作，并及时通知被访人员2、  负责总机电话接听和接转，收发快递、包裹和传真以及订水等工作3、  办公用品的采购、保管以及发放 4、  定期盘点公司固定资产并做好记录5、  协助公司员工复印、扫描文件等事宜6、  为出差同事预定火车票、飞机票并协助预定酒店7、  监督保洁的打扫工作并确保办公环境的卫生　　8、  公司考勤管理、协助资料整理及其他一般行政事务9、  缴纳公司日常费用如电费、物业费等10、 完成上级交代的其他工作 任职要求： 　　1、 20—25岁，普通话良好，具有良好的沟通能力、协调能力2、 对工作细心、认真，态度积极端正　　3、 形象气质佳，身高160cm以上（应聘者请附本人近期生活照一张）\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197653401.shtml"
"北京市海淀区中关村南三街6号",,"互联网/移动互联网/电子商务","北京中科资源有限公司","100-499人","国有企业","喀斯玛（北京）科技有限公...","分站仓储主管-C","面议","1个月前","无","不限","本科及以上","岗位职责：1.分站仓储配送体系规划及管理；2.分站仓储的运营管理；3.分站客户信息管理；4.分站店铺管理。应聘条件：1.本科及以上学历；2.3年以上仓储、物流等相关工作经验。工作地点：北京（2人）、昆明（1人）、上海（1人）、广州（1人）、太原（1人）、青岛（1人）、大连（1人）、南昌（1人）、兰州（1人）、合肥（1人）\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197407053.shtml"
"海淀区清河宝盛里宝盛广场C座5001",,"电子技术/半导体/集成电路","华易明","50-99人","私营·民营企业","科研管理部","光学工程师","10-12万","2017-02-28","无","不限","硕士及以上","岗位职责：     根据整体项目计划完成光学方案计划及评估，根据项目需求进行光学部分的设计开发。     具有光学或光学工程、仪器科学等相关专业和背景；     了解掌握光学镜头（包括定焦，变焦，广角，鱼眼镜头等）的相关光学特性；     精通成像调焦，图像光学调试，镜头设计；     掌握基本的光学知识，对红外灯，激光灯，滤光片，偏光镜等方面均有丰富的了解；     掌握器件光学特性，并能进行相关产品化设计。任职要求：     光学工程或光学物理专业，具有本科以上学历，两年及以上相关领域的工作经验；     有光谱仪、成像光谱仪设计经验者优先；在安防行业或者摄像机研发企业从事1年以上光学设计经验；     热爱工作，责任心强，能吃苦耐劳，具有独立思考与创新精神；     具有较强的团队合作精神和组织协调能力。     有部队经验者优先\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/196576885.shtml"
"中山市石岐区湖滨北路40号（金钻酒店后）",,"百货/批发/零售","太力集团","1000-2000人","私营·民营企业","电子商务部","天猫运营经理","面议","前天","电商总监","不限","本科及以上","岗位职责：1、市场竞品分析、制定店铺主推产品销售策略，实现销售任务;2、指导线上活动策划及推广方案，监督执行，并负责活动后期数据统计，提供效果分析报告;3、侦测同行业运营情况及市场最新动态，发掘新的商机或商品;4、分析每日营运情况，统计数据，发掘隐含内在问题，有针对性的提出解决办法;5、针对顾客、市场、购买过程中的问题，及时调整;6、团队协同管理。任职要求1、5年以上天猫旗舰店运营工作经验，其中2年以上店长工作经验；2、5年以上快消品天猫运营工作经验；3、熟悉直通车、钻展、淘客、聚划算等规则和玩法；4、有天猫分销经验者优先；5、抗压能力强 执行力强 有责任心 触觉敏锐。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/194579260.shtml"
"上海市浦东新区浦东南路1088号中融大厦",,"广告/公关/市场推广/会展","桦霖展览展示设计(上海)有限公司","50-99人","外商独资·外企办事处","业务部","客户经理","10-14万","前天","无","不限","大专及以上","岗位职责：1、合理准确的把握客户需求，撰写项目的策划提案，维持高成功的客户提案通过率；2、项目进程制定及监督；报价、预算确认及监控执行质量把控；合理控制项目成本；3、熟悉并掌握工作相关平行合作单位资源（场地、AV、展览展示设计、印刷、制作、舞台展示、媒体等）；4、项目执行中突发事件的及时、合理的解决；5、公司内部各部门间工作协调，公司与合作伙伴间工作协调，良好的公关活动执行能力；6、良好的团队精神，能接受因活动需要的出差。 任职要求:1、五年以上公关策划或市场营销活动策划、组织经验，熟悉公关活动相关流程，有公关公司、广告公司工作经验，有大型汽车会展項目\活动策划、组织推广经验者优先；2、国内展览会\发布会设计沟通，发包跟监执行工作。3、对工作有热情和责任感，能接受出差，社保福利建全。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/195120981.shtml"
"北京市大兴区亦庄经海路地铁站",,"石油/石化/化工","华泰焦化工程","100-499人","私营·民营企业","营销部","商务经理","6-7万","30分钟前","部长及高管","煤化工   市场营销","统招本科","任职要求：1、具备大学本科学历，市场营销、煤化工等相关专业；2、三年以上相关工作经验，熟悉煤焦化行业工作业务，熟悉营销方面的法律法规，具有较强的组织、协调能力，有较强的语言、文字表达能力，掌握现代化办公工具；3、具有对参加合同谈判、签订和参与合同纠纷处理过程中所遇到的复杂问题进行解决和处理的能力；4、有责任心，能承受较大的工作压力； 5、较强的组织、协调能力、有较强的语言、文字表达能力，掌握现代化办公工具。岗位职责：1、根据部门内部业务分工，掌握公司技术领域范围内的国家、地方及大中型企业的建设规划，建立营销信息渠道和网络，收集并动态跟踪市场经济信息，主动地、有计划地进行营销方面的宣传；2、负责开发新的用户及研究技术发展领域，编制技术销售、营销管理的战略和计划；3、了解公司工程技术的业绩和生产情况，及时了解公司开发的新技术、新工艺、专有技术，并向用户提供技术咨询，向用户介绍产品方案和新技术的推广；4、负责整理公司新技术资料和编写营销宣传资料；5、按照公司营销目标和方针，积极开展营销工作，完成或超额完成营销目标；6、编制工程项目标书商务篇、编制工程报价等工程建设的前期工作。参加合同谈判、签订，草拟合同文本，解释商务条款，参与合同纠纷的处理。 \r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197977023.shtml"
